"lemma","lemma_freq","gloss","form","stressed_syll","case","number","short_cluster","full_cluster","noep","ep"
"взгорье",188,"hill","взго'рьями",1,"inst","pl","вз","взг",3,12
"взгорье",188,"hill","взго'рья",1,"gen","sg","вз","взг",23,173
"взгорье",188,"hill","взго'рий",1,"gen","pl","вз","взг",3,25
"вздорность",58,"cantankerousness","вздо'рностью",1,"inst","sg","вз","взд",7,29
"вздорожание",32,"appreciation","вздорожа'нием",3,"inst","sg","вз","взд",156,21
"вздох",4841,"sigh","вздо'ха",1,"gen","sg","вз","взд",74,338
"вздох",4841,"sigh","вздо'хов",1,"gen","pl","вз","взд",19,153
"вздувание",2,"heave","вздува'нием",2,"inst","sg","вз","взд",32,24
"вздутие",129,"inflation","взду'тиями",1,"inst","pl","вз","взд",240,653
"вздутие",129,"inflation","взду'тия",1,"gen","sg","вз","взд",18,27
"вздутость",6,"vzdutost","взду'тостью",1,"inst","sg","вз","взд",2,15
"вздутость",6,"vzdutost","взду'тостями",1,"inst","pl","вз","взд",2,14
"вздыхание",5,"Sighing","вздыха'нием",2,"inst","sg","вз","взд",26,138
"вздыхание",5,"Sighing","вздыха'ниями",2,"inst","pl","вз","взд",10,13
"вздыхатель",43,"respirator","вздыха'телями",2,"inst","pl","вз","взд",24,2
"взимание",375,"charging","взима'ния",2,"gen","sg","вз","вз",138,16
"взлёт",1718,"takeoff","взлёта",1,"gen","sg","вз","взл",239,944
"взлёт",1718,"takeoff","взлётов",1,"gen","pl","вз","взл",13,31
"взлобок",66,"vzlobok","взло'бка",1,"gen","sg","вз","взл",5,17
"взлом",236,"breaking","взло'ма",1,"gen","sg","вз","взл",137,799
"взлом",236,"breaking","взло'мов",1,"gen","pl","вз","взл",11,119
"взломщик",120,"burglar","взло'мщиком",1,"inst","sg","вз","взл",241,748
"взломщик",120,"burglar","взло'мщика",1,"gen","sg","вз","взл",25,110
"взломщик",120,"burglar","взло'мщиков",1,"gen","pl","вз","взл",11,22
"взмах",1065,"wag","взма'хами",1,"inst","pl","вз","взм",222,632
"взмах",1065,"wag","взма'ха",1,"gen","sg","вз","взм",51,238
"взмах",1065,"wag","взма'хов",1,"gen","pl","вз","взм",5,14
"взмёт",20,"vzmet","взмётом",1,"inst","sg","вз","взм",2,25
"взморье",399,"seaside","взмо'рьем",1,"inst","sg","вз","взм",14,109
"взморье",399,"seaside","взмо'рья",1,"gen","sg","вз","взм",86,921
"взнос",1945,"fee","взно'са",1,"gen","sg","вз","взн",266,295
"взор",8079,"gaze","взо'рами",1,"inst","pl","вз","вз",129,822
"взор",8079,"gaze","взо'ра",1,"gen","sg","вз","вз",156,299
"взор",8079,"gaze","взо'ров",1,"gen","pl","вз","вз",35,38
"взрез",5,"incision","взре'зом",1,"inst","sg","вз","взр",16,32
"взрыватель",324,"fuse","взрыва'теля",2,"gen","sg","вз","взр",128,147
"взрыватель",324,"fuse","взрыва'телей",2,"gen","pl","вз","взр",16,29
"взрывник",96,"blaster","взрывнико'м",3,"inst","sg","вз","взр",137,180
"взрывник",96,"blaster","взрывника'ми",3,"inst","pl","вз","взр",211,170
"взрывной",1107,"explosive","взрывно'го",2,"gen","sg","вз","взр",230,81
"взрывной",1107,"explosive","взрывны'х",2,"gen","pl","вз","взр",159,25
"взрывчатость",24,"explosiveness","взры'вчатостью",1,"inst","sg","вз","взр",79,50
"взрыхление",1,"backwashing","взрыхле'нием",2,"inst","sg","вз","взр",17,2
"взъезд",6,"vzezd","взъе'здом",1,"inst","sg","вз","взъ",12,6
"взывание",15,"invocation","взыва'нием",2,"inst","sg","вз","вз",204,72
"взывание",15,"invocation","взыва'ниями",2,"inst","pl","вз","вз",92,18
"взывание",15,"invocation","взыва'ния",2,"gen","sg","вз","вз",17,2
"взыск",37,"I sought","взы'ска",1,"gen","sg","вз","вз",15,9
"взыскание",2053,"recovery","взыска'ниями",2,"inst","pl","вз","вз",460,216
"взыскание",2053,"recovery","взыска'ния",2,"gen","sg","вз","вз",196,69
"взыскание",2053,"recovery","взыска'ний",2,"gen","pl","вз","вз",21,9
"взыскательность",44,"strictness","взыска'тельностью",2,"inst","sg","вз","вз",50,11
"взыскивание",3,"vzyskivanie","взы'скиванием",1,"inst","sg","вз","вз",78,18
"взятие",1963,"taking","взя'тиями",1,"inst","pl","вз","вз",20,63
"взятие",1963,"taking","взя'тий",1,"gen","pl","вз","вз",10,1
"взяткодатель",45,"briber","взя`ткода'телем",3,"inst","sg","вз","вз",271,184
"взяткодатель",45,"briber","взя`ткода'телями",3,"inst","pl","вз","вз",281,154
"взяткодатель",45,"briber","взя`ткода'теля",3,"gen","sg","вз","вз",139,12
"взяткодатель",45,"briber","взя`ткода'телей",3,"gen","pl","вз","вз",21,13
"взяткополучатель",10,"bribetaker","взя`ткополуча'телем",5,"inst","sg","вз","вз",141,52
"взяткополучатель",10,"bribetaker","взя`ткополуча'телями",5,"inst","pl","вз","вз",23,18
"взяток",2860,"bribes","взя'тком",1,"inst","sg","вз","вз",70,277
"взяток",2860,"bribes","взя'тка",1,"gen","sg","вз","вз",231,122
"взяточник",442,"grafter","взя'точником",1,"inst","sg","вз","вз",242,321
"взяточник",442,"grafter","взя'точника",1,"gen","sg","вз","вз",55,37
"взяточник",442,"grafter","взя'точников",1,"gen","pl","вз","вз",92,149
"взяточничество",319,"bribery","взя'точничества",1,"gen","sg","вз","вз",29,123
"вкладчик",670,"depositor","вкла'дчика",1,"gen","sg","вк","вкл",490,17
"вкладчик",670,"depositor","вкла'дчиков",1,"gen","pl","вк","вкл",994,64
"вкладывание",35,"insertion","вкла'дывания",1,"gen","sg","вк","вкл",58,7
"вкладыш",185,"liner","вкла'дыша",1,"gen","sg","вк","вкл",532,281
"вкладыш",185,"liner","вкла'дышей",1,"gen","pl","вк","вкл",282,216
"вклинение",38,"break-","вклине'нием",2,"inst","sg","вк","вкл",335,7
"вклинивание",3,"wedging","вкли'ниванием",1,"inst","sg","вк","вкл",287,11
"вклинивание",3,"wedging","вкли'ниваниями",1,"inst","pl","вк","вкл",11,1
"включатель",32,"switch","включа'телями",2,"inst","pl","вк","вкл",233,5
"включатель",32,"switch","включа'теля",2,"gen","sg","вк","вкл",149,8
"включатель",32,"switch","включа'телей",2,"gen","pl","вк","вкл",12,1
"включение",2628,"inclusion","включе'ний",2,"gen","pl","вк","вкл",53,1
"вколачивание",17,"vkolachivanie","вкола'чиванием",2,"inst","sg","вк","вк",76,8
"вкрадчивость",53,"suavity","вкра'дчивостью",1,"inst","sg","вк","вкр",175,15
"вкрапление",190,"vkraplenie","вкрапле'ния",2,"gen","sg","вк","вкр",137,0
"вкрапление",190,"vkraplenie","вкрапле'ний",2,"gen","pl","вк","вкр",11,1
"вкрапленник",6,"phenocrysts","вкра'пленниками",1,"inst","pl","вк","вкр",230,0
"вкус",13349,"taste","вку'са",1,"gen","sg","вк","вк",240,270
"вкус",13349,"taste","вку'сов",1,"gen","pl","вк","вк",40,577
"вкушение",110,"eating","вкуше'нием",2,"inst","sg","вк","вк",529,214
"вкушение",110,"eating","вкуше'ния",2,"gen","sg","вк","вк",217,45
"влагалище",478,"vagina","влага'лищами",2,"inst","pl","вл","вл",598,4
"влагалище",478,"vagina","влага'лища",2,"gen","sg","вл","вл",768,33
"влагалище",478,"vagina","влага'лищ",2,"gen","pl","вл","вл",30,1
"влагомер",5,"hygrometer","влагоме'ром",3,"inst","sg","вл","вл",157,0
"влагомер",5,"hygrometer","влагоме'рами",3,"inst","pl","вл","вл",23,0
"влагомер",5,"hygrometer","влагоме'ра",3,"gen","sg","вл","вл",18,0
"влагостойкость",12,"moisture","вла`госто'йкостью",3,"inst","sg","вл","вл",336,2
"владение",5857,"possession","владе'ний",2,"gen","pl","вл","вл",446,12
"владетель",1534,"owner","владе'телем",2,"inst","sg","вл","вл",667,11
"владетель",1534,"owner","владе'телями",2,"inst","pl","вл","вл",411,2
"владетель",1534,"owner","владе'теля",2,"gen","sg","вл","вл",63,0
"владетель",1534,"owner","владе'телей",2,"gen","pl","вл","вл",28,1
"владычество",853,"dominion","влады'чества",2,"gen","sg","вл","вл",92,14
"влажность",979,"humidity","вла'жностями",1,"inst","pl","вл","вл",19,1
"власоглав",0,"whipworm","власогла'вом",3,"inst","sg","вл","вл",16,0
"власоглав",0,"whipworm","власогла'вами",3,"inst","pl","вл","вл",14,0
"властвование",98,"dominion","вла'ствованием",1,"inst","sg","вл","вл",166,2
"властелин",690,"lord","властели'нов",3,"gen","pl","вл","вл",87,0
"властитель",1262,"ruler","власти'теля",2,"gen","sg","вл","вл",71,2
"властитель",1262,"ruler","власти'телей",2,"gen","pl","вл","вл",137,1
"властность",110,"imperiousness","вла'стностью",1,"inst","sg","вл","вл",686,14
"властолюбец",69,"vlastolyubets","властолю'бцем",3,"inst","sg","вл","вл",17,0
"властолюбец",69,"vlastolyubets","властолю'бцами",3,"inst","pl","вл","вл",34,0
"властолюбие",460,"ambition","властолю'бием",3,"inst","sg","вл","вл",353,3
"влах",28,"Vlach","вла'хом",1,"inst","sg","вл","вл",28,1
"влах",28,"Vlach","вла'хами",1,"inst","pl","вл","вл",75,0
"влах",28,"Vlach","вла'хов",1,"gen","pl","вл","вл",317,1
"влёт",75,"entry of","влётом",1,"inst","sg","вл","вл",196,30
"влёт",75,"entry of","влётами",1,"inst","pl","вл","вл",32,9
"влёт",75,"entry of","влёта",1,"gen","sg","вл","вл",23,5
"влечение",2203,"inclination","влече'ниями",2,"inst","pl","вл","вл",773,5
"влечение",2203,"inclination","влече'ния",2,"gen","sg","вл","вл",216,5
"вливание",275,"infusion","влива'ниями",2,"inst","pl","вл","вл",644,19
"вливание",275,"infusion","влива'ния",2,"gen","sg","вл","вл",260,6
"вливание",275,"infusion","влива'ний",2,"gen","pl","вл","вл",50,1
"влитие",6,"pour","вли'тием",1,"inst","sg","вл","вл",98,11
"влияние",24926,"influence","влия'ний",2,"gen","pl","вл","вл",96,3
"влиятельность",59,"consequence","влия'тельностью",2,"inst","sg","вл","вл",282,0
"вложение",1331,"embedding","вложе'ния",2,"gen","sg","вл","вл",884,23
"влюблённость",780,"love","влюблённостями",2,"inst","pl","вл","вл",265,11
"влюблённый",6229,"in love","влюблённого",2,"gen","sg","вл","вл",235,1
"влюблённый",6229,"in love","влюблённых",2,"gen","pl","вл","вл",286,3
"влюбчивость",30,"amorousness","влю'бчивостью",1,"inst","sg","вл","вл",130,2
"вменение",18,"imputation","вмене'нием",2,"inst","sg","вм","вм",602,27
"вменяемость",69,"sanity","вменя'емостью",2,"inst","sg","вм","вм",724,90
"вменяемость",69,"sanity","вменя'емости",2,"gen","sg","вм","вм",14,1
"вместилище",262,"container","вмести'лищем",2,"inst","sg","вм","вм",463,18
"вместилище",262,"container","вмести'лищами",2,"inst","pl","вм","вм",147,6
"вместилище",262,"container","вмести'лища",2,"gen","sg","вм","вм",29,2
"вместимость",343,"capacity","вмести'мостями",2,"inst","pl","вм","вм",10,1
"вместимость",343,"capacity","вмести'мости",2,"gen","sg","вм","вм",166,343
"вместительность",28,"roominess","вмести'тельности",2,"gen","sg","вм","вм",7,22
"вмешательство",3055,"intervention","вмеша'тельствами",2,"inst","pl","вм","вм",545,18
"вмешательство",3055,"intervention","вмеша'тельства",2,"gen","sg","вм","вм",316,22
"вмешательство",3055,"intervention","вмеша'тельств",2,"gen","pl","вм","вм",19,0
"вмещение",28,"containment","вмеще'нием",2,"inst","sg","вм","вм",170,67
"вмещение",28,"containment","вмеще'ния",2,"gen","sg","вм","вм",3,188
"внедрение",3310,"introduction","внедре'ниями",2,"inst","pl","вн","вн",427,5
"внедрение",3310,"introduction","внедре'ний",2,"gen","pl","вн","вн",24,0
"внезапность",532,"suddenness","внеза'пностями",2,"inst","pl","вн","вн",16,0
"внезапность",532,"suddenness","внеза'пности",2,"gen","sg","вн","вн",27,1
"внесение",2264,"introduction","внесе'ниями",2,"inst","pl","вн","вн",450,6
"внесение",2264,"introduction","внесе'ний",2,"gen","pl","вн","вн",29,0
"внешность",3403,"appearance","вне'шностями",1,"inst","pl","вн","вн",225,22
"внешность",3403,"appearance","вне'шностей",1,"gen","pl","вн","вн",10,1
"внимание",49696,"attention","внима'ниями",2,"inst","pl","вн","вн",11,1
"внимательность",343,"attentiveness","внима'тельности",2,"gen","sg","вн","вн",93,5
"внос",192,"bring in","вно'сом",1,"inst","sg","вн","вн",288,149
"внос",192,"bring in","вно'сами",1,"inst","pl","вн","вн",8,9
"внос",192,"bring in","вно'са",1,"gen","sg","вн","вн",153,18
"внук",5545,"grandson","вну'ка",1,"gen","sg","вн","вн",575,65
"внук",5545,"grandson","вну'ков",1,"gen","pl","вн","вн",571,29
"внутренность",1870,"interior","вну'тренности",1,"gen","sg","вн","вн",133,12
"внутренность",1870,"interior","вну'тренностей",1,"gen","pl","вн","вн",510,34
"внучек",2219,"granddaughters","вну'чка",1,"gen","sg","вн","вн",226,6
"внучек",2219,"granddaughters","вну'чков",1,"gen","pl","вн","вн",27,0
"внучок",1945,"grandson","внучка'",2,"gen","sg","вн","вн",226,6
"внучок",1945,"grandson","внучко'в",2,"gen","pl","вн","вн",27,0
"внучонок",299,"grandson","внучо'нком",2,"inst","sg","вн","вн",384,4
"внучонок",299,"grandson","внуча'т",2,"gen","pl","вн","вн",15,2
"внушаемость",142,"suggestibility","внуша'емостью",2,"inst","sg","вн","вн",475,11
"внушение",2248,"suggestion","внуше'ниями",2,"inst","pl","вн","вн",793,69
"внушение",2248,"suggestion","внуше'ния",2,"gen","sg","вн","вн",427,6
"внушение",2248,"suggestion","внуше'ний",2,"gen","pl","вн","вн",18,1
"внушительность",56,"impressiveness","внуши'тельностью",2,"inst","sg","вн","вн",164,6
"внятность",38,"audibility","вня'тностью",1,"inst","sg","вн","вн",347,23
"впадение",438,"inflow","впаде'нием",2,"inst","sg","вп","вп",686,158
"впадение",438,"inflow","впаде'ниями",2,"inst","pl","вп","вп",100,6
"впадение",438,"inflow","впаде'ния",2,"gen","sg","вп","вп",244,161
"впадение",438,"inflow","впаде'ний",2,"gen","pl","вп","вп",3,32
"впалость",8,"hollowness","впа'лостью",1,"inst","sg","вп","вп",8,5
"вперёдсмотрящий",34,"lockout look-out","вперё`дсмотря'щим",4,"inst","sg","вп","вп",142,9
"вперёдсмотрящий",34,"lockout look-out","вперё`дсмотря'щими",4,"inst","pl","вп","вп",71,1
"впечатление",23459,"impression","впечатле'ния",3,"gen","sg","вп","вп",696,22
"впечатлительность",263,"impressionability","впечатли'тельностью",3,"inst","sg","вп","вп",593,23
"вписывание",17,"padded","впи'сыванием",1,"inst","sg","вп","вп",784,254
"вписывание",17,"padded","впи'сывания",1,"gen","sg","вп","вп",17,3
"вплетение",18,"entanglement","вплете'ниями",2,"inst","pl","вп","впл",495,11
"впрыскивание",144,"injection","впры'скиванием",1,"inst","sg","вп","впр",858,35
"впрыскивание",144,"injection","впры'скиваниями",1,"inst","pl","вп","впр",48,3
"впрыскивание",144,"injection","впры'скивания",1,"gen","sg","вп","впр",10,1
"впуск",68,"inlet","впу'ском",1,"inst","sg","вп","вп",859,525
"впуск",68,"inlet","впу'сками",1,"inst","pl","вп","вп",26,7
"впуск",68,"inlet","впу'ска",1,"gen","sg","вп","вп",178,158
"враждебность",665,"hostility","вражде'бности",2,"gen","sg","вр","вр",86,0
"вразумительность",14,"intelligibility","вразуми'тельностью",3,"inst","sg","вр","вр",15,0
"вразумление",135,"admonition","вразумле'нием",3,"inst","sg","вр","вр",198,6
"вразумление",135,"admonition","вразумле'ниями",3,"inst","pl","вр","вр",47,0
"вразумление",135,"admonition","вразумле'ния",3,"gen","sg","вр","вр",25,0
"враль",271,"fibber","вралём",2,"inst","sg","вр","вр",55,3
"враль",271,"fibber","враля'ми",2,"inst","pl","вр","вр",45,1
"враль",271,"fibber","враля'",2,"gen","sg","вр","вр",13,1
"враль",271,"fibber","врале'й",2,"gen","pl","вр","вр",6,38
"врангелевец",44,"vrangelevets","вра'нгелевцами",1,"inst","pl","вр","вр",472,0
"врастание",42,"growing in","враста'нием",2,"inst","sg","вр","вр",846,5
"врастание",42,"growing in","враста'ниями",2,"inst","pl","вр","вр",18,1
"врастание",42,"growing in","враста'ния",2,"gen","sg","вр","вр",14,0
"вратарь",457,"goalkeeper","вратаря'",3,"gen","sg","вр","вр",764,9
"вратарь",457,"goalkeeper","вратаре'й",3,"gen","pl","вр","вр",471,1
"врачевание",192,"healing","врачева'ния",3,"gen","sg","вр","вр",133,0
"вращение",2066,"rotation","враще'ния",2,"gen","sg","вр","вр",851,108
"вращение",2066,"rotation","враще'ний",2,"gen","pl","вр","вр",81,1
"вред",5542,"harm","вреда'ми",2,"inst","pl","вр","вр",24,4
"вред",5542,"harm","вреда'",2,"gen","sg","вр","вр",284,21
"вредитель",1252,"pest","вреди'теля",2,"gen","sg","вр","вр",275,2
"вредитель",1252,"pest","вреди'телей",2,"gen","pl","вр","вр",84,0
"вредительство",514,"wrecking","вреди'тельства",2,"gen","sg","вр","вр",26,0
"вредность",278,"harmfulness","вре'дностями",1,"inst","pl","вр","вр",649,34
"вредность",278,"harmfulness","вре'дности",1,"gen","sg","вр","вр",136,21
"вредность",278,"harmfulness","вре'дностей",1,"gen","pl","вр","вр",13,1
"вредоносность",49,"harmfulness","вредоно'сностью",3,"inst","sg","вр","вр",171,0
"временник",57,"vremennik","временнико'м",4,"inst","sg","вр","вр",21,76
"временник",57,"vremennik","временника'ми",4,"inst","pl","вр","вр",9,145
"временник",57,"vremennik","временника'",4,"gen","sg","вр","вр",4,135
"временник",57,"vremennik","временнико'в",4,"gen","pl","вр","вр",23,450
"временность",151,"temporality","вре'менностью",1,"inst","sg","вр","вр",330,126
"временность",151,"temporality","вре'менности",1,"gen","sg","вр","вр",8,722
"временщик",305,"timeservers","временщико'м",4,"inst","sg","вр","вр",319,1
"временщик",305,"timeservers","временщика'ми",4,"inst","pl","вр","вр",470,5
"временщик",305,"timeservers","временщика'",4,"gen","sg","вр","вр",18,0
"временщик",305,"timeservers","временщико'в",4,"gen","pl","вр","вр",42,1
"времечко",246,"vremechko","вре'мечком",1,"inst","sg","вр","вр",128,203
"времечко",246,"vremechko","вре'мечка",1,"gen","sg","вр","вр",18,7
"времяисчисление",10,"vremyaischislenie","вре`мяисчисле'нием",5,"inst","sg","вр","вр",62,11
"времяпрепровождение",288,"pastime","вре`мяпрепровожде'нием",6,"inst","sg","вр","вр",545,18
"времяпрепровождение",288,"pastime","вре`мяпрепровожде'ния",6,"gen","sg","вр","вр",14,0
"вретище",26,"sackcloth","вре'тищем",1,"inst","sg","вр","вр",9,2
"вретище",26,"sackcloth","вре'тища",1,"gen","sg","вр","вр",11,0
"врождённость",25,"innate","врождённостью",2,"inst","sg","вр","вр",47,3
"вруб",2,"kerf","вру'бом",1,"inst","sg","вр","вр",18,3
"врубок",1,"vrubok","вру'бками",1,"inst","pl","вр","вр",84,1
"врун",85,"liar","вруно'м",2,"inst","sg","вр","вр",327,17
"врун",85,"liar","вруна'ми",2,"inst","pl","вр","вр",570,24
"врун",85,"liar","вруна'",2,"gen","sg","вр","вр",20,1
"врун",85,"liar","вруно'в",2,"gen","pl","вр","вр",12,0
"вручение",774,"presentation","вруче'ниями",2,"inst","pl","вр","вр",197,3
"вручение",774,"presentation","вруче'ний",2,"gen","pl","вр","вр",69,1
"вручитель",20,"Presenter","вручи'телем",2,"inst","sg","вр","вр",12,4
"всадник",3793,"rider","вса'дника",1,"gen","sg","вс","вс",302,247
"всадник",3793,"rider","вса'дников",1,"gen","pl","вс","вс",155,195
"всасываемость",1,"absorbability","вса'сываемостью",1,"inst","sg","вс","вс",28,13
"всасывание",156,"suction","вса'сывания",1,"gen","sg","вс","вс",238,9
"всеведение",82,"omniscience","всеве'дением",2,"inst","sg","вс","вс",142,232
"всевластие",122,"absolute power","всевла'стием",2,"inst","sg","вс","вс",756,488
"всевластие",122,"absolute power","всевла'стия",2,"gen","sg","вс","вс",10,4
